Namespace(batch_size=32, epochs=200, eval=0, exp_name='32121++', lr=0.001, model_path='checkpoints/32121+/best_model.t7', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 2 devices
Train 0, loss: 3.067775, train acc: 0.334080, train avg acc: 0.181056
Test 0, loss: 2.412460, test acc: 0.542545, test avg acc: 0.424006
Max Acc:0.542545
Train 1, loss: 2.250919, train acc: 0.617976, train avg acc: 0.437948
Test 1, loss: 2.062013, test acc: 0.681929, test avg acc: 0.569901
Max Acc:0.681929
Train 2, loss: 2.054329, train acc: 0.705415, train avg acc: 0.547939
Test 2, loss: 1.898308, test acc: 0.779984, test avg acc: 0.683291
Max Acc:0.779984
Train 3, loss: 1.955054, train acc: 0.750611, train avg acc: 0.619529
Test 3, loss: 1.903052, test acc: 0.776742, test avg acc: 0.699378
Train 4, loss: 1.891774, train acc: 0.778298, train avg acc: 0.661711
Test 4, loss: 1.726722, test acc: 0.841572, test avg acc: 0.742134
Max Acc:0.841572
Train 5, loss: 1.835287, train acc: 0.805782, train avg acc: 0.697651
Test 5, loss: 1.731150, test acc: 0.837520, test avg acc: 0.765047
Train 6, loss: 1.805819, train acc: 0.814536, train avg acc: 0.717613
Test 6, loss: 1.685489, test acc: 0.855754, test avg acc: 0.780971
Max Acc:0.855754
Train 7, loss: 1.771205, train acc: 0.829499, train avg acc: 0.736223
Test 7, loss: 1.649825, test acc: 0.878039, test avg acc: 0.803238
Max Acc:0.878039
Train 8, loss: 1.753316, train acc: 0.840391, train avg acc: 0.753185
Test 8, loss: 1.722754, test acc: 0.841572, test avg acc: 0.777709
Train 9, loss: 1.739359, train acc: 0.843546, train avg acc: 0.757934
Test 9, loss: 1.681775, test acc: 0.854943, test avg acc: 0.792953
Train 10, loss: 1.710424, train acc: 0.851792, train avg acc: 0.771438
Test 10, loss: 1.612952, test acc: 0.875203, test avg acc: 0.821488
Train 11, loss: 1.694944, train acc: 0.864414, train avg acc: 0.794633
Test 11, loss: 1.589922, test acc: 0.893841, test avg acc: 0.830558
Max Acc:0.893841
Train 12, loss: 1.681604, train acc: 0.868485, train avg acc: 0.793627
Test 12, loss: 1.675676, test acc: 0.837520, test avg acc: 0.792738
Train 13, loss: 1.670516, train acc: 0.871641, train avg acc: 0.800470
Test 13, loss: 1.584419, test acc: 0.883306, test avg acc: 0.826174
Train 14, loss: 1.654830, train acc: 0.873575, train avg acc: 0.804830
Test 14, loss: 1.635121, test acc: 0.858590, test avg acc: 0.810058
Train 15, loss: 1.646891, train acc: 0.882329, train avg acc: 0.816303
Test 15, loss: 1.620129, test acc: 0.876823, test avg acc: 0.825570
Train 16, loss: 1.644394, train acc: 0.881311, train avg acc: 0.818233
Test 16, loss: 1.627697, test acc: 0.862642, test avg acc: 0.802686
Train 17, loss: 1.628103, train acc: 0.889658, train avg acc: 0.826943
Test 17, loss: 1.685006, test acc: 0.848865, test avg acc: 0.797297
Train 18, loss: 1.622339, train acc: 0.889454, train avg acc: 0.825700
Test 18, loss: 1.611115, test acc: 0.879254, test avg acc: 0.841930
Train 19, loss: 1.618496, train acc: 0.891083, train avg acc: 0.829271
Test 19, loss: 1.578914, test acc: 0.889789, test avg acc: 0.844000
Train 20, loss: 1.605120, train acc: 0.897292, train avg acc: 0.840088
Test 20, loss: 1.566718, test acc: 0.895057, test avg acc: 0.858436
Max Acc:0.895057
Train 21, loss: 1.606501, train acc: 0.893730, train avg acc: 0.834771
Test 21, loss: 1.611538, test acc: 0.876013, test avg acc: 0.836459
Train 22, loss: 1.599044, train acc: 0.898616, train avg acc: 0.842975
Test 22, loss: 1.591450, test acc: 0.882901, test avg acc: 0.857936
Train 23, loss: 1.596107, train acc: 0.899634, train avg acc: 0.843263
Test 23, loss: 1.575168, test acc: 0.889789, test avg acc: 0.840634
Train 24, loss: 1.585000, train acc: 0.903705, train avg acc: 0.848836
Test 24, loss: 1.562785, test acc: 0.892626, test avg acc: 0.841517
Train 25, loss: 1.580653, train acc: 0.906454, train avg acc: 0.854633
Test 25, loss: 1.551249, test acc: 0.891410, test avg acc: 0.838552
Train 26, loss: 1.573139, train acc: 0.906963, train avg acc: 0.855785
Test 26, loss: 1.542796, test acc: 0.899514, test avg acc: 0.861145
Max Acc:0.899514
Train 27, loss: 1.573476, train acc: 0.908897, train avg acc: 0.858325
Test 27, loss: 1.527758, test acc: 0.913695, test avg acc: 0.868087
Max Acc:0.913695
Train 28, loss: 1.566492, train acc: 0.912663, train avg acc: 0.864547
Test 28, loss: 1.527638, test acc: 0.905186, test avg acc: 0.860500
Train 29, loss: 1.567092, train acc: 0.911645, train avg acc: 0.867413
Test 29, loss: 1.541547, test acc: 0.895462, test avg acc: 0.855110
Train 30, loss: 1.559937, train acc: 0.915106, train avg acc: 0.868181
Test 30, loss: 1.508428, test acc: 0.918558, test avg acc: 0.878413
Max Acc:0.918558
Train 31, loss: 1.561695, train acc: 0.915004, train avg acc: 0.867680
Test 31, loss: 1.553104, test acc: 0.892626, test avg acc: 0.849105
Train 32, loss: 1.563868, train acc: 0.912663, train avg acc: 0.867700
Test 32, loss: 1.518692, test acc: 0.901135, test avg acc: 0.842930
Train 33, loss: 1.551674, train acc: 0.918058, train avg acc: 0.874344
Test 33, loss: 1.541124, test acc: 0.900324, test avg acc: 0.872826
Train 34, loss: 1.550013, train acc: 0.919890, train avg acc: 0.876112
Test 34, loss: 1.591769, test acc: 0.875608, test avg acc: 0.845047
Train 35, loss: 1.546111, train acc: 0.920195, train avg acc: 0.881323
Test 35, loss: 1.572409, test acc: 0.879660, test avg acc: 0.865180
Train 36, loss: 1.540054, train acc: 0.924572, train avg acc: 0.882869
Test 36, loss: 1.525083, test acc: 0.905997, test avg acc: 0.855506
Train 37, loss: 1.537492, train acc: 0.924572, train avg acc: 0.886428
Test 37, loss: 1.523210, test acc: 0.908428, test avg acc: 0.865593
Train 38, loss: 1.534826, train acc: 0.925896, train avg acc: 0.886703
Test 38, loss: 1.530316, test acc: 0.901945, test avg acc: 0.863593
Train 39, loss: 1.532227, train acc: 0.925692, train avg acc: 0.886748
Test 39, loss: 1.546585, test acc: 0.891410, test avg acc: 0.852174
Train 40, loss: 1.532938, train acc: 0.924064, train avg acc: 0.885975
Test 40, loss: 1.529296, test acc: 0.905592, test avg acc: 0.857128
Train 41, loss: 1.536423, train acc: 0.921722, train avg acc: 0.881070
Test 41, loss: 1.583615, test acc: 0.883306, test avg acc: 0.855052
Train 42, loss: 1.528290, train acc: 0.925590, train avg acc: 0.883679
Test 42, loss: 1.550044, test acc: 0.896272, test avg acc: 0.859279
Train 43, loss: 1.521686, train acc: 0.929458, train avg acc: 0.892804
Test 43, loss: 1.524938, test acc: 0.901945, test avg acc: 0.871424
Train 44, loss: 1.523641, train acc: 0.928135, train avg acc: 0.889613
Test 44, loss: 1.527286, test acc: 0.904781, test avg acc: 0.866924
Train 45, loss: 1.511596, train acc: 0.932512, train avg acc: 0.894282
Test 45, loss: 1.571737, test acc: 0.885332, test avg acc: 0.848797
Train 46, loss: 1.511509, train acc: 0.930680, train avg acc: 0.892354
Test 46, loss: 1.540312, test acc: 0.888574, test avg acc: 0.848006
Train 47, loss: 1.518506, train acc: 0.931901, train avg acc: 0.896631
Test 47, loss: 1.500611, test acc: 0.905592, test avg acc: 0.867814
